_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,remarks,_date_field
2023,New Listings Announcements,2023-12-22 15:16:36,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,22 Dec 2023 03:16:36 PM,19239,22488,NEW LISTINGS RELATED NOTICES,59,CARGILLS BANK LIMITED - INITIAL PUBLIC OFFERING,createdDate
2023,New Listings Announcements,2023-12-21 15:52:32,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,21 Dec 2023 03:52:32 PM,19221,22451,NEW LISTINGS RELATED NOTICES,59,CARGILLS BANK LIMITED - INITIAL PUBLIC OFFERING 2023 FINAL FIGURES,createdDate
2023,New Listings Announcements,2023-12-14 09:05:46,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,14 Dec 2023 09:05:46 AM,19166,22378,NEW LISTINGS RELATED NOTICES,59,CARGILLS BANK LIMITED – INITIAL PUBLIC OFFERING,createdDate
2023,New Listings Announcements,2023-11-24 17:09:50,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 Nov 2023 05:09:50 PM,18990,22149,NEW LISTINGS RELATED NOTICES,59,CARGILLS BANK LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES,createdDate
2023,Buy-In Board Announcements,2023-10-06 13:05:15,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,06 Oct 2023 01:05:15 PM,18591,21585,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-09-27 13:11:16,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,27 Sep 2023 01:11:16 PM,18478,21430,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-09-13 13:32:53,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,13 Sep 2023 01:32:53 PM,18317,21245,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-09-11 13:40:58,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,11 Sep 2023 01:40:58 PM,18289,21205,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,New Listings Announcements,2023-08-29 17:24:43,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Aug 2023 05:24:43 PM,18024,20904,NEW LISTINGS RELATED NOTICES,59,"AGARAPATANA PLANTATIONS LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF 
ORDINARY VOTING SHARES",createdDate
2023,Buy-In Board Announcements,2023-08-24 13:09:38,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 Aug 2023 01:09:38 PM,17942,20810,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,New Listings Announcements,2023-08-18 18:01:49,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,18 Aug 2023 06:01:49 PM,17915,20773,NEW LISTINGS RELATED NOTICES,59,"AGARAPATANA PLANTATIONS LIMITED (""COMPANY"") - BASIS OF ALLOTMENT",createdDate
2023,Buy-In Board Announcements,2023-08-18 13:16:17,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,18 Aug 2023 01:16:17 PM,17903,20756,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,New Listings Announcements,2023-08-18 12:30:06,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,18 Aug 2023 12:30:06 PM,17898,20752,NEW LISTINGS RELATED NOTICES,59,AGARAPATANA PLATITATIONS LIMITED - INITIAL PUBLIC OFFERING 2023,createdDate
2023,Buy-In Board Announcements,2023-08-17 13:10:04,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,17 Aug 2023 01:10:04 PM,17888,20738,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-08-16 13:10:28,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,16 Aug 2023 01:10:28 PM,17882,20722,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,New Listings Announcements,2023-08-10 13:17:56,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,10 Aug 2023 01:17:56 PM,17807,20639,NEW LISTINGS RELATED NOTICES,59,AGARAPATANA PLANTATIONS LIMITED - INITIAL PUBLIC OFFERING,createdDate
2023,New Listings Announcements,2023-08-09 16:54:39,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,09 Aug 2023 04:54:39 PM,17799,20632,NEW LISTINGS RELATED NOTICES,59,"UB FINANCE COMPANY LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY 
VOTING SHARES",createdDate
2023,Buy-In Board Announcements,2023-08-09 13:06:43,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,09 Aug 2023 01:06:43 PM,17793,20626,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-08-07 13:06:21,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,07 Aug 2023 01:06:21 PM,17769,20599,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-08-04 13:10:50,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,04 Aug 2023 01:10:50 PM,17743,20570,BUY-IN BOARD DISCLOSURES,60,,createdDate
