_category,_parsed_date,company,subject,description,announcementType,type,date,announcementDate,publishedDate,id,announcementId,createdDate,title,announcementCategory,category,companyName,logoUrl,_date_field,remarks
Buy-In Board Announcements,2026-05-11 14:02:39,TRADING AND MARKET SURVEILLANCE,,,,,,,,30928,36950,11 May 2026 02:02:39 PM,,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
Non-Compliance Announcements,2026-05-11 10:12:34,LANKA WALLTILES PLC,,,,,,,,30924,36941,11 May 2026 10:12:34 AM,,NON-COMPLIANCE OF CORPORATE GOVERNANCE RULES,39,,upload_logo/rjQu3MIImbVm4Q5c_22Jul2024093537GMT_1721640937226.jpeg,createdDate,
New Listings Announcements,2026-05-08 17:02:54,TRADING AND MARKET SURVEILLANCE,,,,,,,,30919,36939,08 May 2026 05:02:54 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"Abans Finance PLC (“Company”) – Listed, Rated, Senior, Unsecured, Redeemable Debentures 2026"
Non-Compliance Announcements,2026-05-06 15:22:59,ACME PRINTING & PACKAGING PLC,,,,,,,,30890,36901,06 May 2026 03:22:59 PM,,INDEPENDENT AUDITOR'S REPORT CONTAINING AN EMPHASIS OF MATTER ON GOING CONCERN,42,,upload_logo/661_1601609771.jpeg,createdDate,
Buy-In Board Announcements,2026-05-06 13:50:14,TRADING AND MARKET SURVEILLANCE,,,,,,,,30889,36906,06 May 2026 01:50:14 PM,,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
Non-Compliance Announcements,2026-05-06 10:13:01,ODEL PLC,,,,,,,,30887,36893,06 May 2026 10:13:01 AM,,INDEPENDENT AUDITOR'S REPORT CONTAINING AN EMPHASIS OF MATTER ON GOING CONCERN,42,,,createdDate,
Non-Compliance Announcements,2026-05-05 16:23:26,MILLENNIUM HOUSING DEVELOPERS PLC,,,,,,,,30877,36855,05 May 2026 04:23:26 PM,,INDEPENDENT AUDITOR'S REPORT CONTAINING AN EMPHASIS OF MATTER ON GOING CONCERN,42,,upload_logo/1304_1392780761.jpeg,createdDate,
Non-Compliance Announcements,2026-05-05 16:16:16,LOLC FINANCE PLC,,,,,,,,30876,36886,05 May 2026 04:16:16 PM,,NON-COMPLIANCE OF MINIMUM PUBLIC HOLDING REQUIREMENTS,40,,upload_logo/TsNgkWUI2a1CtTbN_27Dec2025051430GMT_1766812470566.jpeg,createdDate,
Non-Compliance Announcements,2026-05-05 10:07:26,ASSOCIATED MOTOR FINANCE COMPANY PLC,,,,,,,,30865,36870,05 May 2026 10:07:26 AM,,NON-COMPLIANCE OF CORPORATE GOVERNANCE RULES,39,,upload_logo/1068_1311838497.jpeg,createdDate,
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30776,36794,28 Apr 2026 03:21:51 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED (“COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30757,36763,24 Apr 2026 06:56:36 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED – INITIAL PUBLIC OFFER 2026 – RESPONSE TO CONCERNS REGARDING BASIS OF ALLOTMENT TO NON-RETAIL INVESTORS
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30726,36722,22 Apr 2026 09:43:47 AM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED - INITIAL PUBLIC OFFER 2026 -BASIS OF ALLOTMENT
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30714,36710,21 Apr 2026 11:41:42 AM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED-INITIAL PUBLIC OFFER 2026-FINAL FIGURES
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30626,36622,09 Apr 2026 09:56:14 AM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED- INITIAL PUBLIC OFFERING-OVERSUBSCRIPTION
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30492,36505,31 Mar 2026 07:16:09 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"MAHINDRA IDEAL FINANCE LIMITED (“COMPANY”) – ISSUANCE OF 10,000,000 TIER 2, LISTED, RATED, UNSECURED, SUBORDINATED, REDEEMABLE, 5-YEAR DEBENTURES"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30429,36385,27 Mar 2026 09:11:55 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"HAYLEYS PLC (“COMPANY”) – LISTED, RATED, UNSECURED, SENIOR, REDEEMABLE DEBENTURES"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30400,36352,26 Mar 2026 04:56:17 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"MAHINDRA IDEAL FINANCE LIMITED (""T'HE COMPANY"") - DEBENTURE ISSUE 2026-BASIS OF ALLOTMENT"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30399,36349,26 Mar 2026 04:54:18 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,MAHINDRA IDEAL FINANCE LIMITED- DEBENTURE ISSUE 2026-FINAL FIGURES
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30352,36292,23 Mar 2026 05:01:06 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,MAHINDRA IDEAL FINANCE LIMITED-DEBENTURE ISSUE 2026
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30343,36271,20 Mar 2026 08:26:20 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,JANASHAKTHI LIMITED (‘COMPANY’) -INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES VIA AN OFFER FOR SUBSCRIPTION
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30342,36270,20 Mar 2026 08:25:47 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"UNION BANK OF COLOMBO PLC (“BANK”) – BASEL III COMPLIANT, TIER 2, LISTED, RATED, UNSECURED, SUBORDINATED, REDEEMABLE, HIGH YIELD 5 YEAR DEBENTURES"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30323,36248,20 Mar 2026 08:17:31 AM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"NATIONAL DEVELOPMENT BANK PLC (“BANK”) – BASEL III COMPLIANT TIER 2, LISTED, RATED, UNSECURED, SUBORDINATED, REDEEMABLE GSS+ BONDS WITH NON-VIABILITY WRITE-DOWN FEATURES"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30301,36223,17 Mar 2026 05:17:32 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"MAHINDRA IDEAL FINANCE LIMITED (“COMPANY”) – TIER 2, LISTED, RATED, UNSECURED, SUBORDINATED, REDEEMABLE, 5-YEAR DEBENTURES"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30270,36180,13 Mar 2026 08:54:23 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"SIYAPATHA FINANCE PLC (“COMPANY”) – ISSUANCE OF LISTED, RATED, SUBORDINATED, UNSECURED, REDEEMABLE DEBENTURES 2026"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30240,36151,11 Mar 2026 05:12:32 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,HAYLEYS PLC (“THE COMPANY”) – LISTED RATED UNSECURED SENIOR REDEEMABLE DEBENTURES
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30147,36051,05 Mar 2026 09:52:25 AM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"NATIONAL DEVELOPMENT BANK PLC (“BANK”) – BASEL III COMPLIANT TIER 2, LISTED, RATED, UNSECURED, SUBORDINATED, REDEEMABLE GSS+ BONDS WITH NON-VIABILITY WRITE-DOWN FEATURES"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30067,35952,27 Feb 2026 04:37:21 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"UNION BANK OF COLOMBO PLC (“BANK”) – BASEL III COMPLIANT, TIER 2, LISTED, RATED, UNSECURED, SUBORDINATED, REDEEMABLE, HIGH YIELD 5 YEAR DEBENTURES"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,29958,35814,19 Feb 2026 04:41:14 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"DFCC BANK PLC (“BANK”) – BASEL III COMPLIANT TIER 2, LISTED, RATED, UNSECURED, SUBORDINATED, REDEEMABLE 5-YEAR (2026/31), 7-YEAR (2026-33) AND 10-YEAR (2026-36) GSS+ BONDS WITH NON-VIABILITY WRITE-DOWN FEATURES
"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,29948,35804,18 Feb 2026 05:24:25 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,CAL THREE YEAR CLOSED END FUND (“UNITS”) – INTRODUCTION
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,29870,35693,12 Feb 2026 10:22:18 AM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,CAL THREE YEAR CLOSED END FUND (“UNITS”) – LISTING VIA AN INTRODUCTION
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,29733,35528,30 Jan 2026 10:20:54 AM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"DFCC Bank PLC (“Bank”) – Basel III compliant Tier 2, Listed, Rated, Unsecured, Subordinated, Redeemable 5-Year (2026/31), 7-Year (2026-33) and 10-Year (2026-36) GSS+ Bonds with Non-Viability Write-Down Features "
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,29474,35204,08 Jan 2026 05:17:55 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"Bank of Ceylon PLC (“Bank”) – Issuance of 200,000,000 Basel III compliant - Tier 2, Listed, Rated, Unsecured, Subordinated, Redeemable 5-year Sustainability Bonds with Non-Viability Write-Down Features"
New Listings Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,29429,35149,05 Jan 2026 04:38:02 PM,,NEW LISTINGS RELATED NOTICES,59,,,createdDate,WEALTHTRUST SECURITIES LIMITED (“COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES
Buy-In Board Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30772,36790,28 Apr 2026 01:50:41 PM,,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
Buy-In Board Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30631,36624,09 Apr 2026 01:56:00 PM,,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
Buy-In Board Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30621,36617,08 Apr 2026 02:20:27 PM,,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
Buy-In Board Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30379,36320,25 Mar 2026 02:09:44 PM,,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
Buy-In Board Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30334,36258,20 Mar 2026 02:40:07 PM,,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
Buy-In Board Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,30157,36059,05 Mar 2026 01:56:14 PM,,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
Buy-In Board Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,29739,35535,30 Jan 2026 01:57:19 PM,,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
Buy-In Board Announcements,,TRADING AND MARKET SURVEILLANCE,,,,,,,,29513,35249,13 Jan 2026 01:50:31 PM,,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
