_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,companyName,logoUrl,_date_field,remarks
2026,Buy-In Board Announcements,2026-05-11 14:02:39,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,11 May 2026 02:02:39 PM,30928,36950,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2026,Non-Compliance Announcements,2026-05-11 10:12:34,LANKA WALLTILES PLC,,,,,,,,,,11 May 2026 10:12:34 AM,30924,36941,NON-COMPLIANCE OF CORPORATE GOVERNANCE RULES,39,,upload_logo/rjQu3MIImbVm4Q5c_22Jul2024093537GMT_1721640937226.jpeg,createdDate,
2026,New Listings Announcements,2026-05-08 17:02:54,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,08 May 2026 05:02:54 PM,30919,36939,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"Abans Finance PLC (“Company”) – Listed, Rated, Senior, Unsecured, Redeemable Debentures 2026"
2026,Non-Compliance Announcements,2026-05-06 15:22:59,ACME PRINTING & PACKAGING PLC,,,,,,,,,,06 May 2026 03:22:59 PM,30890,36901,INDEPENDENT AUDITOR'S REPORT CONTAINING AN EMPHASIS OF MATTER ON GOING CONCERN,42,,upload_logo/661_1601609771.jpeg,createdDate,
2026,Buy-In Board Announcements,2026-05-06 13:50:14,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,06 May 2026 01:50:14 PM,30889,36906,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2026,Non-Compliance Announcements,2026-05-06 10:13:01,ODEL PLC,,,,,,,,,,06 May 2026 10:13:01 AM,30887,36893,INDEPENDENT AUDITOR'S REPORT CONTAINING AN EMPHASIS OF MATTER ON GOING CONCERN,42,,,createdDate,
2026,Non-Compliance Announcements,2026-05-05 16:23:26,MILLENNIUM HOUSING DEVELOPERS PLC,,,,,,,,,,05 May 2026 04:23:26 PM,30877,36855,INDEPENDENT AUDITOR'S REPORT CONTAINING AN EMPHASIS OF MATTER ON GOING CONCERN,42,,upload_logo/1304_1392780761.jpeg,createdDate,
2026,Non-Compliance Announcements,2026-05-05 16:16:16,LOLC FINANCE PLC,,,,,,,,,,05 May 2026 04:16:16 PM,30876,36886,NON-COMPLIANCE OF MINIMUM PUBLIC HOLDING REQUIREMENTS,40,,upload_logo/TsNgkWUI2a1CtTbN_27Dec2025051430GMT_1766812470566.jpeg,createdDate,
2026,Non-Compliance Announcements,2026-05-05 10:07:26,ASSOCIATED MOTOR FINANCE COMPANY PLC,,,,,,,,,,05 May 2026 10:07:26 AM,30865,36870,NON-COMPLIANCE OF CORPORATE GOVERNANCE RULES,39,,upload_logo/1068_1311838497.jpeg,createdDate,
2025,New Listings Announcements,2025-05-30 17:13:07,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 May 2025 05:13:07 PM,26224,31170,NEW LISTINGS RELATED NOTICES,59,,,createdDate,BANK OF CEYLON (“BANK”) – BASEL III COMPLIANT DEBENTURE ISSUE WITH NON-VIABILITY WRITE DOWN FEATURES	
2025,New Listings Announcements,2025-05-27 17:04:04,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,27 May 2025 05:04:04 PM,26147,31055,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"CAPITAL ALLIANCE HOLDINGS LTD (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING 
SHARES"
2025,Buy-In Board Announcements,2025-05-23 14:07:33,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,23 May 2025 02:07:33 PM,26096,30997,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2025,Buy-In Board Announcements,2025-05-22 14:09:17,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,22 May 2025 02:09:17 PM,26088,30986,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2025,Buy-In Board Announcements,2025-05-21 14:08:39,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,21 May 2025 02:08:39 PM,26076,30973,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2025,New Listings Announcements,2025-05-20 20:48:16,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,20 May 2025 08:48:16 PM,26071,30964,NEW LISTINGS RELATED NOTICES,59,,,createdDate,CAPITAL ALLIANCE HOLDINGS LIMITED - BASIS OF ALLOTMENT
2025,New Listings Announcements,2025-05-20 20:43:59,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,20 May 2025 08:43:59 PM,26069,30966,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"Hayleys PLC (“Company”) – Issuance of 70,000,000 Listed Rated Unsecured Senior Redeemable 
Debentures - 2025"
2025,New Listings Announcements,2025-05-19 17:05:07,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,19 May 2025 05:05:07 PM,26053,30940,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"CAPITAL ALLIANCE HOLDINGS LIMITED - INITIAL PUBLIC OFFER 2025-FINAL FIGURES
"
2025,New Listings Announcements,2025-05-10 13:49:16,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,10 May 2025 01:49:16 PM,25978,30845,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"Merchant Bank of Sri Lanka & Finance PLC (“Company”) – Issuance of 10,000,000 Unsecured,
Subordinated, Redeemable, Listed, Rated Debentures 2025"
2025,New Listings Announcements,2025-05-08 09:31:04,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,08 May 2025 09:31:04 AM,25948,30813,NEW LISTINGS RELATED NOTICES,59,,,createdDate,CAPITAL ALLIANCE HOLDINGS LIMITED – INITIAL PUBLIC OFFERING
2025,New Listings Announcements,2025-05-06 11:09:09,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,06 May 2025 11:09:09 AM,25915,30778,NEW LISTINGS RELATED NOTICES,59,,,createdDate,Bank of Ceylon (“Bank”) – BASEL III Compliant Debenture Issue with Non-Viability Write Down Features
2025,New Listings Announcements,2025-05-05 17:13:05,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,05 May 2025 05:13:05 PM,25907,30760,NEW LISTINGS RELATED NOTICES,59,,,createdDate,"First Capital Treasuries PLC (“Company”) – Issuance of 30,000,000 Redeemable Debentures - 2025"
2024,Buy-In Board Announcements,2024-05-02 13:20:17,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,02 May 2024 01:20:17 PM,20526,24067,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
2023,Buy-In Board Announcements,2023-05-24 13:06:07,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 May 2023 01:06:07 PM,16889,19528,BUY-IN BOARD DISCLOSURES,60,,,createdDate,
