_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,remarks,_date_field
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,31 Dec 2021 08:34:20 PM,11375,13132,NEW LISTINGS RELATED NOTICES,59,ERRATA TO THE HELA APPAREL HOLDINGS LIMITED PROSPECTUS DATED 28 DECEMBER 2021,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 Dec 2021 02:22:08 PM,11327,13080,NEW LISTINGS RELATED NOTICES,59,LOLC GENERAL INSURANCE LIMITED-INTERIM FINANCIAL STATEMENTS AS AT 30TH SEPTEMBER 2021,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 Dec 2021 01:21:55 PM,11326,13079,NEW LISTINGS RELATED NOTICES,59,LOLC GENERAL INSURANCE LIMITED-INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES VIA OFFER FOR SALE,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Dec 2021 05:14:40 PM,11321,13072,NEW LISTINGS RELATED NOTICES,59,CO-OPERATIVE INSURANCE COMPANY LIMITED (THE COMPANY) - INITIAL PUBLIC OFFERRING OF ORDINARY VOTING SHARES,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Dec 2021 05:13:59 PM,11320,13071,NEW LISTINGS RELATED NOTICES,59,CO-OPERATIVE INSURANCE COMPANY LIMITED - INITIAL PUBLIC OFFERING (SUMMARY OF APPLICATIONS),createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Dec 2021 04:36:26 PM,11317,13070,NEW LISTINGS RELATED NOTICES,59,LOLC GENERAL INSURANCE LTD INITIAL PUBLIC OFFER,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,29 Dec 2021 10:42:29 AM,11309,13057,NEW LISTINGS RELATED NOTICES,59,CO-OPERATIVE INSURANCE COMPANY LTD IPO - BASIS OF ALLLOTMENT,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,28 Dec 2021 04:46:48 PM,11306,13054,NEW LISTINGS RELATED NOTICES,59,LOLC GENERAL INSURANCE LIMITED IPO,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,28 Dec 2021 04:11:10 PM,11303,13052,NEW LISTINGS RELATED NOTICES,59,LOLC General Insurance IPO - Basis of Allocation,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,27 Dec 2021 05:13:55 PM,11281,13034,NEW LISTINGS RELATED NOTICES,59,VOLUNTARY SUBMISSION OF INTERIM FINANCIAL STATEMENTS OF CO-OPERATIVE INSURANCE COMPANY LIMITED,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,23 Dec 2021 05:02:34 PM,11240,12976,NEW LISTINGS RELATED NOTICES,59,MYLAND DEVELOPMENTS LIMITED - INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES VIA OFFER FOR SUBSCRIPTION,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,22 Dec 2021 09:07:31 AM,11218,12953,NEW LISTINGS RELATED NOTICES,59,Kapruka Holdings Limited - lnitial Public Offering,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,20 Dec 2021 04:41:16 PM,11191,12923,NEW LISTINGS RELATED NOTICES,59,"FIRST CAPITAL TREASURIES PLC (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING 
SHARES VIA OFFER FOR SALE",createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,20 Dec 2021 02:43:33 PM,11179,12908,NEW LISTINGS RELATED NOTICES,59,HELA APPAREL HOLDINGS LIMITED (THE COMPANY) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,20 Dec 2021 01:53:02 PM,11172,12902,NEW LISTINGS RELATED NOTICES,59,CO-OPERATIVE INSURANCE COMPANY LIMITED-INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES (OVERSUBSCRIBED),createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,17 Dec 2021 07:32:54 PM,11155,12873,NEW LISTINGS RELATED NOTICES,59,MYLAND DEVELOPMENTS LIMITED – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES RE: BASIS OF ALLOTMENT,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,17 Dec 2021 01:50:12 PM,11147,12864,NEW LISTINGS RELATED NOTICES,59,hSENID BUSINESS SOLUTIONS LIMITED,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,17 Dec 2021 01:50:01 PM,11146,12863,NEW LISTINGS RELATED NOTICES,59,Myland Development Limited - IPO (Summary of applications),createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,16 Dec 2021 10:17:50 AM,11125,12839,NEW LISTINGS RELATED NOTICES,59,LOLC General Insurance Limited IPO - Oversubscribed,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,16 Dec 2021 09:20:41 AM,11124,12838,NEW LISTINGS RELATED NOTICES,59,FIRST CAPITAL TREASURIES PLC IPO - BASIS OF ALLOTMENT,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,15 Dec 2021 06:57:18 PM,11122,12837,NEW LISTINGS RELATED NOTICES,59,"FIRST CAPITAL TREASURIES PLC - INITIAL PUBLIC OFFERING OF ORDINARY
VOTING SHARES",createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,15 Dec 2021 11:58:42 AM,11103,12813,NEW LISTINGS RELATED NOTICES,59,hSENID Business Solutions Limited IPO 2021- Announcement on over subscription,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,14 Dec 2021 05:01:53 PM,11091,12799,NEW LISTINGS RELATED NOTICES,59,hSenid Business Solutions Limited - Equity IPO 2021 -Number of applications,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,13 Dec 2021 06:14:26 PM,11074,12783,NEW LISTINGS RELATED NOTICES,59,"CAPITAL ALLIANCE LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING
SHARES VIA OFFER FOR SUBSCRIPTION ",createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,13 Dec 2021 02:05:45 PM,11070,12775,NEW LISTINGS RELATED NOTICES,59,KAPRUKA HOLDINGS LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,13 Dec 2021 02:05:28 PM,11069,12774,NEW LISTINGS RELATED NOTICES,59,CO-OPERATIVE INSURANCE COMPANY LIMITED (“THE COMPANY”)-INITIAL PUBLIC OFFERING,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,10 Dec 2021 12:06:59 PM,11040,12750,NEW LISTINGS RELATED NOTICES,59,SARVODAYA DEVELOPMENT FINANCE LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES VIA OFFER FOR SUBSCRIPTION,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,08 Dec 2021 10:16:00 AM,11019,12726,NEW LISTINGS RELATED NOTICES,59,MYLAND DEVELOPMENTS LIMITED – INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES (OVERSUBSCRIBED),createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,07 Dec 2021 09:46:54 AM,11000,12711,NEW LISTINGS RELATED NOTICES,59,CAPITAL ALLIANCE LIMITED IPO - FINAL FIGURES IN RESPECT OF THE APPLICATIONS PROCESSED,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,06 Dec 2021 09:54:10 PM,10998,12709,NEW LISTINGS RELATED NOTICES,59,CAPITAL ALLIANCE LIMITED IPO - BASIS OF ALLOTMENT,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,06 Dec 2021 10:18:34 AM,10990,12694,NEW LISTINGS RELATED NOTICES,59,"FIRST CAPITAL TREASURIES PLC - INITIAL PUBLIC OFFERING OF ORDINARY VOTING SHARES
",createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,03 Dec 2021 09:03:11 AM,10955,12679,NEW LISTINGS RELATED NOTICES,59,"
hSENID BUSINESS SOLUTION LIMITED- OVERSUBSCRIBED",createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,02 Dec 2021 01:54:04 PM,10947,12667,NEW LISTINGS RELATED NOTICES,59,SARVODAYA DEVELOPMENT FINANCE LIMITED - IPO,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,01 Dec 2021 05:43:59 PM,10934,12651,NEW LISTINGS RELATED NOTICES,59,"LOLC GENERAL INSURANCE LIMITED - INITIAL PUBLIC OFFER OF ORDINARY VOTING SHARES
",createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 Nov 2021 07:26:58 PM,10916,12631,NEW LISTINGS RELATED NOTICES,59,SARVODAYA DEVELOPMENT FINANCE LIMITED - IPO,createdDate
2021,New Listings Announcements,2021-01-01,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 Nov 2021 01:51:22 PM,10904,12619,NEW LISTINGS RELATED NOTICES,59,"hSENID BUSINESS SOLUTION LIMITED-RELEASE OF INTERIM FINANCIAL STATEMENTS FOR THE PERIOD ENDED OCTOBER 31, 2021",createdDate
